doi,text
,Eamen; L.; Brouwer; R.; and Razavi; S.; The Economic Impacts of Water Supply Restrictions due to Climate and Policy Change: a Transboundary River Basin Supply-Side Input-Output Analysis; submitted to Ecological Economics.
10.1002/ird.2200,Ebrahim; S.; H. Garmdareh; R. Malekian; A. Madani and R. Gordon. 2018. Simulation of nitrate-N leaching in no-till fields with DRAINMOD-N II in a cold-humid region. Irrigation and Drainage; 67(S2).
10.21273/HORTTECH04255-18,Eicher-Sodo; M.; R. Gordon; and Y. Zheng. 2019. Characterizing the phytotoxic effects of hydrogen peroxide on common microgreen species and lettuce cultivars. HortTechnology.
,Eitel; J.U.H.; Maguire; A.; Boelman; N. et al. incl. Sonnentag; O. (2019); Proximal remote sensing of tree physiology at the northern treeline: Do late-season changes in the photochemical reflectance index (PRI) respond to climate or photoperiod? Remote Sensing of Environment; 221; 340-350.
,Elliott; J.; 2019 (in press). Authoritative review of agricultural management practices for water quality protection on the Northern Great Plains.
,F.	Rezanezhad; C. M. Smeaton; L. A. Hug; G. B. Jensen; K. J. Krogstad; M. L. Macrae; C. P.R. McCarter; T. Milojevic; R. Mills; C. T. Parsons; W. Quinton; D. Rudolph; S. A. Safsari; S. Smith; H. Townsend; P. Van Cappellen. Winter Soil Processes: Knowledge; Gaps and Challenges. Will be submitted in May/June 2019 to: Frontiers in Environmental Science | Soil Processes.
10.1021/acs.est.8b03869,Feilong Li; Ying Peng; Wendi Fang; Florian Altermatt; Yuwei Xie; Jianghua Yang; and Xiaowei Zhang*. Application of Environmental DNA Metabarcoding for Predicting Anthropogenic Pollution in Rivers. Environ. Sci. Technol.; 2018; 52 (20); pp 11708–11719.
,Ferguson; G. and McIntosh; J.C. 2019. Comment on “Groundwater pumping is a significant unrecognized contributor to global anthropogenic element cycles�. Groundwater 57: 82.
10.1029/2018GL078409,Ferguson; G.; McIntosh; J.C.; Grasby; S. E.; Hendry; M.J.; Jasechko; S.; Lindsay; M.B.J.; & Luijendijk; E. 2018. The persistence of brines in sedimentary basins. Geophysical Research Letters 45: 4851–4858.
10.1088/1748-9326/aae6d8,Ferguson; G.; McIntosh; J.C.; Perrone; D. and Jasechko; S.; 2018. Competition for shrinking window of low salinity groundwater. Environmental Research Letters 13: 114013. ERL Featured Article.
10.1088/1748-9326/aae6d8,Ferguson; G.; McIntosh; J.C.; Perrone; D.; Jasechko; S. (2018) Competition for shrinking window of low salinity groundwater. Environmental Research Letters.
10.1029/2018GL078409,Ferguson; G.;McIntosh; J.C.; Grasby; S.E.; Hendry; M.J.; Jasechko; S.; Lindsay; M.B.J.; and Luijendijk. (2018) The persistence of brines in sedimentary basins. Geophysical Research Letter. 45: 4851-4858.
10.1016/j.jhydrol.2018.06.037,Gharari; S.; and Razavi; S. (2018); Review and Synthesis of Hysteresis in Hydrology and Hydrological Modelling: Memory; Path-Dependency; or Missing Physics?; Journal of Hydrology; 566; 500-519
10.1038/s41467-018-05457-1,Gibson; C. M.; Chasmer; L. E.; Thompson; D. K.; Quinton; W. L.; Flannigan; M. D.; & Olefeldt; D. (2018). Wildfire as a major driver of recent permafrost thaw in boreal peatlands. Nature communications; 9(1); 3041.
10.1002/eco.1941,Gingras Hill; T.; Nwaishi; F. C.; Macrae; M. L.; Price; J. S.; & Petrone; R. M. (2018). Ecohydrological functioning of an upland undergoing reclamation on postmining landscape of the Athabasca oil sands region; Canada. Ecohydrology; 11(4); e1941.
10.1145/3331151,Golam Mostaeen; Banani Roy; Chanchal K. Roy and Kevin A. Schneider. Designing for Real-Time Groupware Systems to Support Complex Scientific Data Analysis. Journal Proceedings of the ACM on Human-Computer Interaction - EICS Volume 3; Issue EICS; 20 pages; June 2019 (to appear).
,Golam Mostaeen; Banani Roy; Chanchal K. Roy and Kevin A. Schneider. Fine-Grained Attribute Level Locking Scheme for Collaborative Scientific Workflow Development (2018). In Proc. of IEEE Conference on Service Computing (SCC’18); pp. 273–277.
,Golam Mostaeen; Jeffrey Svajlenko; Banani Roy; Chanchal K. Roy and Kevin A. Schneider. On the Use of Machine Learning Techniques towards the Design of Automatic Code Clone Validation Tools. In Proc. of the 18th IEEE International Working Conference on Source Code Analysis and Manipulation (SCAM 2018); pp. 155-164.
10.5194/bg-2018-120,Granath G; Rydin H; Baltzer JL; Bengtsson F; Boncek N; et al. (2018) Environmental and taxonomic controls of carbon and oxygen stable isotope composition in Sphagnum across broad climatic and geographic ranges. Biogeosciences; doi.org/
10.2136/vzj2018.08.0150,Grant; K.N.; Macrae; M.L.; Rezanezhad; F.; Lam; W.V.; 2019. Nutrient leaching in soil affected by fertilizer application and frozen ground. Vadose Zone Journal.  https://
,Grant; K.N.; Macrae; M.L.and Ali; G.A. (2019). Differences in preferential flow with antecedent moisture conditions and soil texture: implications for subsurface P transport. Hydrological Processes (in press).
,Green; K. R.; Bohn; T. A.; and Spiteri; R. J. (2019). Direct function evaluation vs. lookup tables: when to use which? SIAM Journal on Scientific Computing; in press.
10.1145/3301320,Green; K.R.; and Spiteri; R.J. (2019). Extended BACOLI: Solving one-dimensional multiscale parabolic PDE systems with error control; ACM Transactions on Mathematical Software}; 45(1) 8.
10.1021/acsomega.8b02039,Gu; L.; Saran; R.; Yan; W.; Huang; P-J.J.; Wang; S.; Lyu; M.; Liu; J. Reselection Yielding a Smaller and More Active Silver-Specific DNAzyme; ACS Omega; 2018; 3; 15174-15181.
10.1016/j.envsoft.2019.07.007,Guillaume; J.; Jakeman; J.; Marsili-Libelli; S.; Asher; M.; Brunner; P.; Croke; B.; Hill; M.; Jakeman; A.; Keesman; K.; Razavi; S.; and Stigter; J.; Introductory Overview of Identifiability Analysis: a guide to evaluating whether you have the right type of data for your modeling purpose; submitted to Environmental Modelling & Software.
10.1109/TGRS.2017.2786158,Gunn; G.; C. Duguay; D. Atwood; J. King; and P. Toose; 2018. Observing scattering mechanisms of bubbled freshwater lake ice using polarimetric RADARSAT-2 (C-band) and UWScat (X-; Ku- band). IEEE Transactions on Geoscience and Remote Sensing; 56(5): 2887-2903;
10.1029/2018WR022668,Gupta; H.V.; and Razavi; S.; (2018); Revisiting the Basis of Sensitivity Analysis for Dynamical Earth Systems Models; Water	Resources	Research;	54.
10.1029/2018EF000867,Hallema; D. W.; Robinne; F. N.; & Bladon; K. D. (2018). Reframing the challenge of global wildfire threats to water supplies. Earth's Future; 6(6); 772-776.
,Han; M.; Mai; J.; Tolson; B.A.; Craig; J.R.; and Gaborit; E. (2019). Subwatershed-based lake and river routing products for hydrologic and land surface models applied over Canada. (Manuscript in preparation.)
10.1139/cjfr-2018-0293,Hanes; C. C.; Wang; X.; Jain; P.; Parisien; M. A.; Little; J. M.; & Flannigan; M. D. (2018). Fire-regime changes in Canada over the last half century. Canadian Journal of Forest Research; 49(3); 256-269.
10.1175/JHM-D-18-0039.1,Harder P; Helgason WD; Pomeroy JW; (2018). Modeling the Snowpack Energy Balance during Melt under Exposed Crop Stubble; Journal of Hydrometeorology; 19(7): 1191 - 1214.
10.5194/hess-23-1-2019,Harder P; Pomeroy JW; Helgason WD; (2019). A simple model for local-scale sensible and latent heat advection contributions to snowmelt; Hydrology and Earth System Sciences; 23: 1 - 17.
10.1175/JHM-D-18-0039.1,Harder; P.; Helgason; W.; and Pomeroy; J.; 2018. Modelling the snowpack energy balance during melt under exposed crop stubble. Journal of Hydrometeorology 19 (7): 1191–1214.
10.5194/hess-23-1-2019,Harder; P.; Pomeroy; J. W.; Helgason; W. (2019). A simple model for local scale sensible and latent heat advection contributions to snowmelt. Hydrol. Earth Syst. Sci. 23 (1); 117.
10.1080/07011784.2019.1575774,Harder; P.; Pomeroy; J.; and Helgason; W. (2018) Implications of stubble management on snow hydrology and meltwater partitioning. Canadian Water Resources Journal.
10.1002/hyp.13248,Harrington JS; Mozil A; Hayashi M; Bentley LR. 2018. Groundwater flow and storage processes in an inactive rock glacier. Hydrological Processes; 32: 3070-3088.
10.1016/j.jenvman.2018.11.016,Hassanzadeh; E.; Strickert; G.; Morales-Marin; L.; Noble; B.; Baulch; H.; Shupena-Soulodre; E.; Lindenschmidt; K.-E. (2019) A framework for engaging stakeholders in water quality modeling and management: Application to the Qu'Appelle River Basin; Canada. Journal of EnvironmentalManagement  231:	1117–1126. https://dx.doi.org/
10.20383/101.035,He J; Hayashi M. 2019. Lake O'Hara alpine hydrological observatory: Hydrological and meteorological dataset; 2004-2017. Earth System Science Data; 11: 111-117.
